time,Ia,Ib,Ic,Vab,Torque,Speed,Category
0.086746758,0.000928255,0.001022932,0.001085172,2.16E-06,3.617353355,0.039745329,NOM
0.5,12.05134994,12.07200315,12.16588935,649.5028546,46.14008077,151.5510412,OVF
0.2,21.84685268,21.84650142,21.84665989,474.980777,38.63587049,137.0077654,OLF
0.007525,121.0690883,4.141643071,22.50193944,8.35E-05,14716.73069,688.7841476,PTGF
0.35,30.28387975,7.453952536,23.00028592,428.1521984,21.67206961,139.1208852,PTPF
0.007525,1.45E-06,1.96E-06,1.66E-06,8.17E-12,13.24641066,0.001610502,NOM
0.007525,4.28E-07,4.27E-07,5.27E-07,1.98E-12,12.84601591,0.001533881,NOM
0.007525,2.57E-06,3.61E-06,5.82E-06,9.59E-12,293.424883,4.254481379,PTPF
0.5,7.464757558,22.58694075,29.69345256,237.5034967,47.27323416,143.1692076,PTPF
0.075124792,0.000477591,0.000434464,0.000514547,1.05E-06,2.987310798,0.038801853,NOM
0.075124792,0.000440588,0.00039636,0.000470497,9.76E-07,2.978175433,0.038627547,NOM
0.2,10.8619666,10.86221596,10.86480824,474.5699431,15.72490133,148.681199,NOM
0.086746758,8.85E-05,0.000107314,0.000100318,2.11E-07,2.424631262,0.026538289,UVF
0.086746758,1.520810165,4.243563995,10.47806168,0.00492614,121.7219739,24.95155446,PTGF
0.35,11.68247917,11.68247778,11.68247898,389.693296,20.45671135,145.3341276,UVF
0.2,11.22926251,11.2271753,11.18830386,562.8999943,17.0918828,149.9846397,OVF
-1.26E-15,-3.209703018,-1.041179061,0.387882645,3.073604668,-0.068683619,-0.013243653,NOM
0.086746758,0.000654265,0.000653244,0.00072613,1.41E-06,3.584133913,0.039164795,NOM
0.5,17.17036184,17.17011852,17.17021687,474.98804,42.85487238,142.3237818,OLF
0.35,25.24806126,39.51263286,19.11332547,362.4283131,-1.984951987,0.38062227,PTGF
0.5,11.51330474,11.50150209,11.50903832,541.2490769,35.87556906,149.7241199,OVF
0.5,41.6761339,73.27937337,41.43322314,475.0133117,592.4200267,99.82377195,PTGF
0.075124792,0.000765518,0.000883532,0.000930512,1.94E-06,3.020856789,0.039553167,NOM
0.35,19.5363665,19.53637398,19.53637778,474.984304,40.88026869,139.6953722,OLF
0.2,24.84226985,32.9656396,8.232483859,427.7382863,0.031073131,131.8342618,PTPF
0.5,41.72404326,44.14587242,70.65953969,362.4967066,516.5917305,86.21173283,PTGF
0.086746758,0.008319671,0.009971212,0.008435717,2.23E-05,4.80228532,0.055839169,OVF
0.2,12.80608235,12.80511042,12.80632622,474.5665552,20.34908273,146.7191716,NOM
0.075124792,7.04E-05,5.53E-05,5.18E-05,1.89E-07,2.889549593,0.034874814,OLF
0.35,39.58384552,19.06852871,25.16920017,362.4767484,-0.500772732,-1.12086058,PTGF
0.007525,7.84E-09,1.15E-08,1.01E-08,4.44E-14,5.878836758,0.000704281,UVF
0.086746758,0.001983788,0.002418845,0.002318464,5.05E-06,3.685516729,0.040914947,NOM
-1.26E-15,1.905147142,2.711254071,-3.845862062,-3.571759943,1.148750071,-0.046176295,PTGF
0.2,19.4547963,28.22338123,9.921650601,362.7238789,-370.9056857,-77.022589,PTGF
0.35,11.47024771,11.47000087,11.47025298,541.2489781,26.95028001,149.5799564,OVF
0.2,17.16686624,17.16752576,17.16682869,474.9880334,29.77363147,142.2198089,OLF
0.5,10.40016848,10.406233,10.41276775,474.5708504,28.36867104,149.2927129,NOM
0.086746758,0.012349845,0.013757834,0.014106627,3.47E-05,5.212830131,0.067266967,OVF
-1.26E-15,-3.081687945,-0.182533816,0.870746308,2.834867073,-0.070194003,-0.014301318,NOM
0.007525,0.001420452,0.001931401,0.00179675,1.53E-08,48.93716972,0.031633864,OVF
0.2,24.08294369,24.08268864,24.08252208,474.9774789,42.4240024,134.322675,OLF
0.086746758,5.123546896,11.63707085,2.15359797,0.020629999,131.1237309,26.73300157,PTGF
0.075124792,7.045593605,0.899900224,2.803557289,0.006223754,85.87863028,19.60379101,PTGF
0.075124792,9.87E-05,9.29E-05,8.72E-05,2.65E-07,2.921204071,0.035998677,OLF
0.35,13.31320802,13.3132071,13.31321221,346.3892853,20.47529043,141.1025179,UVF
0.35,11.26875107,11.26822676,11.26848471,562.9001632,27.14973861,150.155435,OVF
-1.26E-15,0.013962525,-4.547751955,3.956980551,-4.108908262,0.006647671,0.005981603,PTPF
-1.26E-15,2.684317767,-4.752631573,1.868000959,-2.346124385,0.573311198,0.285975598,PTGF
0.075124792,0.000291833,0.001275681,0.001499682,1.01E-06,15.2394252,1.822123027,PTPF
-1.26E-15,-6.729821324,4.75585916,-2.07367638,-3.833374572,0.013715251,0.007683466,PTPF
0.35,13.53539316,13.53542857,13.53541919,474.9940132,28.86401504,146.055417,NOM
0.007525,4.33E-06,4.54E-06,5.83E-06,2.77E-12,277.6267863,4.03234616,PTPF
